ENGINEER,PARENT,PARTNO,DESCRIPTION,QTY,VENDOR,VENDOR PARTNO,MANUFACTURER,MANUF. PARTNO,APPROX. LEAD TIME [WEEKS],COST EA.,EXT COST,NOTES,MULTIPLIER,EXTENDED_QTY,QTY ORDERED,QTY RECEIVED
unknown,RC-ASY-00103,MCM 92095A177,"BHCS, M3x0.5, 5mm, 18-8 SS",6,MCMASTER, 92095A177,,,1, $ 0.06 , $ 0.35 ,,1,18,,
unknown,RC-ASY-00103,MCM 92095A182,"BHCS, M3x0.5, 10mm, 18-8 SS",12,MCMASTER,92095A182,,,1, $ 0.08 , $ 1.00 ,,1,36,,
unknown,RC-ASY-00103,MCM 92125A125,"FHCS, M3x0.5, 5mm, 18-8 SS",4,MCMASTER,92125A125,,,1, $ 0.04 , $ 0.15 ,,1,12,,
unknown,RC-ASY-00103,MCM 92125A128,"FHSCS, 18-8 SS, M3X.5, 8MM",2,MCMASTER,92125A128,,,1, $ 0.04 , $ 0.07 ,,1,6,,
unknown,RC-ASY-00103,MCM 94500A264,"BHCS, M3X0.5, 12MM, 316SS",4,MCMASTER,94500A264,,,1, $ 0.04 , $ 0.15 ,,1,12,,
unknown,RC-ASY-00103,MCM 95610A560,"FWSH, M5, 1MM THK, NYLON",2,MCMASTER,95610A560,,,1, $ 0.05 , $ 0.11 ,,1,6,,
unknown,RC-ASY-00103,MCM 97654A378,"BHCS-FL, M6X1.0, 8MM, 18-8 SS",2,MCMASTER,97654A378,,,1, $ 0.58 , $ 1.16 ,,1,6,,
unknown,RC-ASY-00103,MISUMI BCHL5,"BALL ROLLER, 4MM BALL DIA, 5MM THREAD, 304 SS",4,MISUMI,BCHL5,,,1, $ 8.42 , $ 33.68 ,,1,12,,
unknown,RC-ASY-00103,MISUMI SJPNGA3-P8-B1.9-R4,"LOCATING PIN, ROUND, 8MM HEAD, 3MM THREAD, 304 SS",2,MISUMI,SJPNGA3-P8-B1.9-R4,,,1, $ 17.76 , $ 35.52 ,,1,6,,
unknown,RC-ASY-00103,MISUMI SSFJW10-125-M6-N6,"SHAFT, 10MM DIA, 125MM LONG, M6 HOLES, 440C SS",1,MISUMI,SSFJW10-125-M6-N6,,,1, $ 16.88 , $ 16.88 ,,1,3,,
unknown,RC-ASY-00103,OMRON D2HW-BL203ML,"LIMIT SWITCH, SNAP, SPST-NO, 100MA, 125V	",2,DIGIKEY,	Z12226-ND,OMRON,D2HW-BL203ML,1, $ 6.27 , $ 12.54 ,,1,6,,
unknown,RC-ASY-00103,WHATMAN 6704-7500,"IN-LINE CARBON FILTER, 96 x 66 MM",1,COLE PARMER,VV-29708-10,WHATMAN,6704-7500,1, $ 183.60 , $ 183.60 ,,1,3,,
unknown,RC-ASY-00104,RC-ASY-00109,"ASSY, SIPPER TUBE CALIBRATION, RC2-B",1,,,READCOOR,RC-ASY-00109,1,$231.43,$231.43,,1,3,,
unknown,RC-ASY-00104,RC-FAB-00529,"BASEPLATE, SAMPLE CARRIER, RC2-B",1,,,PROTOLABS,RC-FAB-00529,1,$349.49,$349.49,1,1,3,,
unknown,RC-ASY-00104,RC-FAB-00539,"SCC MOUNT PLATE, SC, RC2-B",1,,,PROTOLABS,RC-FAB-00539,1,,$0.00,,1,3,,
unknown,RC-ASY-00104,RC-FAB-00540,"TOP BRACKET, SCC, RC2-B",1,,,PROTOTEK,RC-FAB-00540,1,$340.74,$340.74,,1,3,,
unknown,RC-ASY-00104,RC-FAB-00607,"BASE, USB HOLDER, LOAD CELL, SC, RC2-B",1,,,PROTOLABS,RC-FAB-00607,1,,$0.00,,1,3,,
unknown,RC-ASY-00104,RC-FAB-00608,"TOP, USB HOLDER, LOAD CELL, SC, RC2-B",1,,,PROTOLABS,RC-FAB-00608,1,,$0.00,,1,3,,
unknown,RC-ASY-00104,LCOM UADAA90-2,"USB ADAPTER, TYPE A M-F, RIGHT ANGLE",1,LCOM,UADAA90-2,,,1,$7.55,$7.55,,1,3,,
unknown,RC-ASY-00104,MCM 91292A114,"SHCS, M3x0.5, 12mm, 18-8 SS",6,MCMASTER,91292A114,,,1,$0.05,$0.30,100,1,18,,
unknown,RC-ASY-00104,MCM 92000A024,"BHCS, M2x0.4, 18mm, 18-8 SS, Phillips",2,MCMASTER,92000A024,,,1,$0.08,$0.17,100,1,6,,
unknown,RC-ASY-00104,MCM 92095A177,"BHCS, M3x0.5, 5mm, 18-8 SS",2,MCMASTER,92095A177,,,1,$0.06,$0.12,100,1,6,,
unknown,RC-ASY-00104,MCM 92125A128,"FHCS, 18-8 SS, M3X.5, 8MM",2,MCMASTER,92125A128,,,1,$0.04,$0.07,100,1,6,,
unknown,RC-ASY-00104,MCM 92125A130,"FHCS, M3x0.5, 10mm, 18-8 SS",2,MCMASTER,92125A130,,,1,$0.06,$0.12,100,1,6,,
unknown,RC-ASY-00104,MCM 92290A763,"SHCS, M3X0.5, 35MM, 316SS",4,MCMASTER,92290A763,,,1,$0.32,$1.27,25,1,12,,
unknown,RC-ASY-00104,MCM 94500A225,"BHCS, M4X0.7, 316SS",4,MCMASTER,94500A225,,,1,$0.08,$0.32,100,1,12,,
unknown,RC-ASY-00104,MCM 98952A101,"HXST, M2.5X0.45, 5MM, M-F, AL",5,MCMASTER,98952A101,,,1,$1.57,$7.85,5,1,15,,
unknown,RC-ASY-00105,RC-FAB-00532,"WASTE DISH HOLDER, FMM, RC2",1,,,PROTOLABS,RC-FAB-00532,1,$187.34,$187.34,1,1,3,,
unknown,RC-ASY-00105,RC-FAB-00576,"RUBBER BUMPER, WASTE DISH,  FMM, RC2",4,,,READCOOR,RC-FAB-00576,1,$0.01,$0.05,1,1,12,,
unknown,RC-ASY-00105,MCM 92015A207,"SETSCREW, HEX HEAD, M2x0.4,  2.5mm, 18-8 SS, CUP TIP",4,MCMASTER,92015A207,,,1,$0.25,$1.01,4,1,12,,
unknown,RC-ASY-00105,MIS MSCSS2-12,"DOWEL PIN, 2MM X 15MM,  CHAMFER AND RADIUS, 304 SS",4,MISUMI,MSCSS2-12,,,1,$1.75,$7.00,4,1,12,,
